dimention,Image name,Y-Image Dimentions,X-Image Dimentions
"(2848, 4288)",13-08-08-hongkong-by-RalfR-127.jpg,4288,2848
"(3024, 3768)",Borne_incendie_situ%C3%A9_devant_la_piscine_Garibaldi_%28Rue_Garibaldi%29_%C3%A0_Lyon.jpg,3768,3024
"(2030, 3183)",Brey_de_Vent_-_mars_2016_-_23.JPG,3183,2030
"(6532, 4355)",D%C3%BClmen%2C_Kirchspiel%2C_ehem._Sondermunitionslager_Visbeck%2C_Bunker_--_2019_--_6424.jpg,4355,6532
"(1688, 2251)",East_Greenwich_%28Rhode_Island%2C_USA%29%2C_Hydrant_--_2006_--_10.jpg,2251,1688
"(1525, 2192)",East_Greenwich_%28Rhode_Island%2C_USA%29%2C_Hydrant_--_2006_--_8.jpg,2192,1525
"(3372, 2274)",Hidrante_de_agua%2C_Gniezno%2C_Polonia%2C_2012-04-06%2C_DD_01.JPG,2274,3372
"(3648, 5472)",M%C3%BCnster%2C_Prinzipalmarkt_40_--_2018_--_3703.jpg,5472,3648
"(3509, 5263)",M%C3%BCnster%2C_Prinzipalmarkt_40_--_2018_--_3705.jpg,5263,3509
"(3266, 4755)",Pismo_Beach_%28California%2C_USA%29%2C_Hydrant_--_2012_--_4768.jpg,4755,3266
