URLs,Image name
https://upload.wikimedia.org/wikipedia/commons/d/d3/13-08-08-hongkong-by-RalfR-127.jpg,13-08-08-hongkong-by-RalfR-127.jpg
https://upload.wikimedia.org/wikipedia/commons/f/fb/Pismo_Beach_%28California%2C_USA%29%2C_Hydrant_--_2012_--_4768.jpg,Pismo_Beach_%28California%2C_USA%29%2C_Hydrant_--_2012_--_4768.jpg
https://upload.wikimedia.org/wikipedia/commons/b/b4/M%C3%BCnster%2C_Prinzipalmarkt_40_--_2018_--_3703.jpg,M%C3%BCnster%2C_Prinzipalmarkt_40_--_2018_--_3703.jpg
https://upload.wikimedia.org/wikipedia/commons/a/ab/M%C3%BCnster%2C_Prinzipalmarkt_40_--_2018_--_3705.jpg,M%C3%BCnster%2C_Prinzipalmarkt_40_--_2018_--_3705.jpg
https://upload.wikimedia.org/wikipedia/commons/c/c2/East_Greenwich_%28Rhode_Island%2C_USA%29%2C_Hydrant_--_2006_--_10.jpg,East_Greenwich_%28Rhode_Island%2C_USA%29%2C_Hydrant_--_2006_--_10.jpg
https://upload.wikimedia.org/wikipedia/commons/a/ac/Borne_incendie_situ%C3%A9_devant_la_piscine_Garibaldi_%28Rue_Garibaldi%29_%C3%A0_Lyon.jpg,Borne_incendie_situ%C3%A9_devant_la_piscine_Garibaldi_%28Rue_Garibaldi%29_%C3%A0_Lyon.jpg
https://upload.wikimedia.org/wikipedia/commons/e/e9/D%C3%BClmen%2C_Kirchspiel%2C_ehem._Sondermunitionslager_Visbeck%2C_Bunker_--_2019_--_6424.jpg,D%C3%BClmen%2C_Kirchspiel%2C_ehem._Sondermunitionslager_Visbeck%2C_Bunker_--_2019_--_6424.jpg
https://upload.wikimedia.org/wikipedia/commons/0/09/East_Greenwich_%28Rhode_Island%2C_USA%29%2C_Hydrant_--_2006_--_8.jpg,East_Greenwich_%28Rhode_Island%2C_USA%29%2C_Hydrant_--_2006_--_8.jpg
https://upload.wikimedia.org/wikipedia/commons/4/47/Hidrante_de_agua%2C_Gniezno%2C_Polonia%2C_2012-04-06%2C_DD_01.JPG,Hidrante_de_agua%2C_Gniezno%2C_Polonia%2C_2012-04-06%2C_DD_01.JPG
https://upload.wikimedia.org/wikipedia/commons/c/c0/Brey_de_Vent_-_mars_2016_-_23.JPG,Brey_de_Vent_-_mars_2016_-_23.JPG
