image Name,object 1,is close to,is far from,is smaller than,is greater than,overlaps,doesnt overlap,is in the right of,is in the left of,is in the bottom of,is in the top of
download (10).jpg,cat,cup,na,na,na,na,na,na,na,na,na
download (10).jpg,cup,cat,na,na,na,na,na,na,na,na,na
download (12).jpg,cat,na,dining table,na,na,na,na,na,na,na,na
download (12).jpg,dining table,na,cat,na,na,na,na,na,na,na,na
download (14).jpg,elephant,na,elephant,na,na,na,na,na,na,na,na
download (14).jpg,elephant,na,elephant,na,na,na,na,na,na,na,na
download (15).jpg,elephant,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,na,elephant,na,na,na,na,na,na,na,na
download (15).jpg,elephant,na,elephant,na,na,na,na,na,na,na,na
download (15).jpg,elephant,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,na,cow,na,na,na,na,na,na,na,na
download (15).jpg,cow,na,elephant,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,na,elephant,na,na,na,na,na,na,na,na
download (15).jpg,elephant,na,cow,na,na,na,na,na,na,na,na
download (15).jpg,cow,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,na,cow,na,na,na,na,na,na,na,na
download (15).jpg,cow,na,elephant,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,cow,na,na,na,na,na,na,na,na,na
download (15).jpg,cow,na,elephant,na,na,na,na,na,na,na,na
download (15).jpg,elephant,na,cow,na,na,na,na,na,na,na,na
download (15).jpg,cow,elephant,na,na,na,na,na,na,na,na,na
download (15).jpg,elephant,cow,na,na,na,na,na,na,na,na,na
